Bin information for iteration 66
1064 segments
277 bins total, 0 targets, 133 (48.014%) occupied
Minimum probability by bin:     4.32982621986613508e-35
Maximum probability by bin:     8.29394576099521386e-01
Dynamic range (by bin):         78.9379 kT
Minimum probability by segment: 5.41228277483266818e-36
Maximum probability by segment: 1.14571839145972576e-01
Dynamic range (by segment):     79.0378 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
    92         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.5, 3.6), (4.0, 6.0)]
    93         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.5, 3.6), (6.0, 8.0)]
    94         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.5, 3.6), (8.0, 10)]
    95         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.6, 3.7), (0.0, 2.0)]
    96         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.6, 3.7), (2.0, 4.0)]
    97         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.6, 3.7), (4.0, 6.0)]
    98         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.6, 3.7), (6.0, 8.0)]
    99         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.6, 3.7), (8.0, 10)]
   100         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.7, 3.8), (0.0, 2.0)]
   101         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.7, 3.8), (2.0, 4.0)]
   102         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.7, 3.8), (4.0, 6.0)]
   103         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.7, 3.8), (6.0, 8.0)]
   104         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.7, 3.8), (8.0, 10)]
   105         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.8, 3.9000000000000004), (0.0, 2.0)]
   106         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.8, 3.9000000000000004), (2.0, 4.0)]
