Bin information for iteration 251
960 segments
206 bins total, 0 targets, 120 (58.252%) occupied
Minimum probability by bin:     5.01359613556285710e-72
Maximum probability by bin:     1.00000000000000000e+00
Dynamic range (by bin):         164.174 kT
Minimum probability by segment: 6.26699516945357012e-73
Maximum probability by segment: 1.77269362199033942e-01
Dynamic range (by segment):     164.523 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
    68         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.125, 2.13)]
    69         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.13, 2.135)]
    70         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.135, 2.14)]
    71         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.14, 2.145)]
    72         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.145, 2.15)]
    73         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.15, 2.155)]
    74         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.155, 2.16)]
    75         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.16, 2.165)]
    76         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.165, 2.17)]
    77         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.17, 2.175)]
    78         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.175, 2.18)]
    79         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.18, 2.185)]
    80         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.185, 2.19)]
    81         8    3.51319735065414739e-70    4.39149668831768423e-71    4.39149668831768423e-71         1.00000    [(2.19, 2.195)]
    82         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.195, 2.2)]
    83         8    3.51319735065414739e-70    4.39149668831768423e-71    4.39149668831768423e-71         1.00000    [(2.2, 2.205)]
    84         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.205, 2.21)]
    85         8    1.23250904999253575e-71    1.25339903389071402e-72    2.50679806778142805e-72         2.00000    [(2.21, 2.215)]
    86         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.215, 2.22)]
    87         8    5.01359613556285710e-72    6.26699516945357012e-73    6.26699516945357012e-73         1.00000    [(2.22, 2.225)]
    88         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.225, 2.23)]
    89         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.23, 2.235)]
    90         8    5.48362077327187454e-72    6.85452596658984318e-73    6.85452596658984318e-73         1.00000    [(2.235, 2.24)]
    91         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.24, 2.245)]
    92         8    3.51319735065414739e-70    4.39149668831768423e-71    4.39149668831768423e-71         1.00000    [(2.245, 2.25)]
    93         8    5.84904146510322012e-69    6.78525326751302665e-70    1.09936417784410147e-69         1.62023    [(2.25, 2.255)]
    94         8    1.98454847032696447e-71    2.08899838981785679e-72    4.17799677963571358e-72         2.00000    [(2.255, 2.26)]
    95         8    9.07684669043888712e-69    9.46761071502763711e-70    1.89352214300552742e-69         2.00000    [(2.26, 2.265)]
    96         8    6.48450406512709986e-69    8.09877555544228374e-70    8.15361176317500213e-70         1.00677    [(2.265, 2.27)]
    97         8    2.32765680686712602e-70    2.19344830930874982e-71    4.38689661861749964e-71         2.00000    [(2.27, 2.275)]
    98         8    7.31149436436249738e-72    9.13936795545312424e-73    9.13936795545312424e-73         1.00000    [(2.275, 2.2800000000000002)]
    99         8    1.18840797287415842e-70    1.48550996609269843e-71    1.48550996609269843e-71         1.00000    [(2.28, 2.285)]
   100         8    1.04475303685173213e-69    1.03381839182109093e-70    2.06763678364218185e-70         2.00000    [(2.285, 2.29)]
   101         8    4.32372872590347603e-70    5.01885335807735341e-71    7.27497161908063875e-71         1.44953    [(2.29, 2.295)]
